"year","month","noaa.year.month","noaa.temp.anom","mcfarland.year.month","mcfarland.temp.anom","serc.year.month","serc.temp.anom"
1895,1,1895-01-01,-1.14789496527778,NA,NA,NA,NA
1895,2,1895-02-01,-4.11187065972222,NA,NA,NA,NA
1895,3,1895-03-01,-3.45670572916667,NA,NA,NA,NA
1895,4,1895-04-01,-1.79730902777778,NA,NA,NA,NA
1895,5,1895-05-01,-1.0310329861111,NA,NA,NA,NA
1895,6,1895-06-01,-2.1781684027778,NA,NA,NA,NA
1895,7,1895-07-01,-3.5670572916667,NA,NA,NA,NA
1895,8,1895-08-01,-2.8888888888889,NA,NA,NA,NA
1895,9,1895-09-01,-1.5923394097222,NA,NA,NA,NA
1895,10,1895-10-01,-3.9361979166667,NA,NA,NA,NA
1895,11,1895-11-01,-1.52202690972222,NA,NA,NA,NA
1895,12,1895-12-01,-1.2001953125,NA,NA,NA,NA
1896,1,1896-01-01,-3.18793402777778,NA,NA,NA,NA
1896,2,1896-02-01,-3.34233940972222,NA,NA,NA,NA
1896,3,1896-03-01,-3.49674479166667,NA,NA,NA,NA
1896,4,1896-04-01,-1.83734809027778,NA,NA,NA,NA
1896,5,1896-05-01,-2.3415798611111,NA,NA,NA,NA
1896,6,1896-06-01,-3.2680121527778,NA,NA,NA,NA
1896,7,1896-07-01,-2.3268229166667,NA,NA,NA,NA
1896,8,1896-08-01,-3.7590060763889,NA,NA,NA,NA
1896,9,1896-09-01,-3.3325737847222,NA,NA,NA,NA
1896,10,1896-10-01,-3.3170572916667,NA,NA,NA,NA
1896,11,1896-11-01,-1.68218315972222,NA,NA,NA,NA
1896,12,1896-12-01,-4.3603515625,NA,NA,NA,NA
1897,1,1897-01-01,-1.55805121527778,NA,NA,NA,NA
1897,2,1897-02-01,-1.72222222222222,NA,NA,NA,NA
1897,3,1897-03-01,-1.77701822916667,NA,NA,NA,NA
1897,4,1897-04-01,-1.89789496527778,NA,NA,NA,NA
1897,5,1897-05-01,-3.2312282986111,NA,NA,NA,NA
1897,6,1897-06-01,-5.0277777777778,NA,NA,NA,NA
1897,7,1897-07-01,-3.0563151041667,NA,NA,NA,NA
1897,8,1897-08-01,-2.9787326388889,NA,NA,NA,NA
1897,9,1897-09-01,-2.2417534722222,NA,NA,NA,NA
1897,10,1897-10-01,-1.3268229166667,NA,NA,NA,NA
1897,11,1897-11-01,-2.96245659722222,NA,NA,NA,NA
1897,12,1897-12-01,-2.3896484375,NA,NA,NA,NA
1898,1,1898-01-01,-3.37738715277778,NA,NA,NA,NA
1898,2,1898-02-01,-0.41265190972222,NA,NA,NA,NA
1898,3,1898-03-01,0.863606770833332,NA,NA,NA,NA
1898,4,1898-04-01,-2.93793402777778,NA,NA,NA,NA
1898,5,1898-05-01,-2.1911892361111,NA,NA,NA,NA
1898,6,1898-06-01,-2.8676215277778,NA,NA,NA,NA
1898,7,1898-07-01,-2.2467447916667,NA,NA,NA,NA
1898,8,1898-08-01,-1.7287326388889,NA,NA,NA,NA
1898,9,1898-09-01,-1.1919487847222,NA,NA,NA,NA
1898,10,1898-10-01,-1.9264322916667,NA,NA,NA,NA
1898,11,1898-11-01,-1.42241753472222,NA,NA,NA,NA
1898,12,1898-12-01,-3.2802734375,NA,NA,NA,NA
1899,1,1899-01-01,-1.43793402777778,NA,NA,NA,NA
1899,2,1899-02-01,-4.06206597222222,NA,NA,NA,NA
1899,3,1899-03-01,-3.45670572916667,NA,NA,NA,NA
1899,4,1899-04-01,-1.41742621527778,NA,NA,NA,NA
1899,5,1899-05-01,-2.9011501736111,NA,NA,NA,NA
1899,6,1899-06-01,-1.8178168402778,NA,NA,NA,NA
1899,7,1899-07-01,-2.7369791666667,NA,NA,NA,NA
1899,8,1899-08-01,-3.9592013888889,NA,NA,NA,NA
1899,9,1899-09-01,-3.4126519097222,NA,NA,NA,NA
1899,10,1899-10-01,-1.5768229166667,NA,NA,NA,NA
1899,11,1899-11-01,-3.02202690972222,NA,NA,NA,NA
1899,12,1899-12-01,-0.7197265625,NA,NA,NA,NA
1900,1,1900-01-01,-0.62738715277778,NA,NA,NA,NA
1900,2,1900-02-01,-2.79253472222222,NA,NA,NA,NA
1900,3,1900-03-01,-3.06705729166667,NA,NA,NA,NA
1900,4,1900-04-01,-0.72797309027778,NA,NA,NA,NA
1900,5,1900-05-01,-4.2312282986111,NA,NA,NA,NA
1900,6,1900-06-01,-1.7875434027778,NA,NA,NA,NA
1900,7,1900-07-01,-1.8570963541667,NA,NA,NA,NA
1900,8,1900-08-01,-1.7287326388889,NA,NA,NA,NA
1900,9,1900-09-01,-1.3423394097222,NA,NA,NA,NA
1900,10,1900-10-01,0.2835286458333,NA,NA,NA,NA
1900,11,1900-11-01,-1.48198784722222,NA,NA,NA,NA
1900,12,1900-12-01,-3.7197265625,NA,NA,NA,NA
1901,1,1901-01-01,-2.80805121527778,NA,NA,NA,NA
1901,2,1901-02-01,-5.55230034722222,NA,NA,NA,NA
1901,3,1901-03-01,-2.39713541666667,NA,NA,NA,NA
1901,4,1901-04-01,-1.40766059027778,NA,NA,NA,NA
1901,5,1901-05-01,-2.8210720486111,NA,NA,NA,NA
1901,6,1901-06-01,-2.7074652777778,NA,NA,NA,NA
1901,7,1901-07-01,-1.9361979166667,NA,NA,NA,NA
1901,8,1901-08-01,-2.7785373263889,NA,NA,NA,NA
1901,9,1901-09-01,-1.4019097222222,NA,NA,NA,NA
1901,10,1901-10-01,-1.8766276041667,NA,NA,NA,NA
1901,11,1901-11-01,-4.75249565972222,NA,NA,NA,NA
1901,12,1901-12-01,-1.8203125,NA,NA,NA,NA
1902,1,1902-01-01,-1.61762152777778,NA,NA,NA,NA
1902,2,1902-02-01,-1.54253472222222,NA,NA,NA,NA
1902,3,1902-03-01,1.92317708333333,NA,NA,NA,NA
1902,4,1902-04-01,-0.98773871527778,NA,NA,NA,NA
1902,5,1902-05-01,-2.7615017361111,NA,NA,NA,NA
1902,6,1902-06-01,-4.2182074652778,NA,NA,NA,NA
1902,7,1902-07-01,-3.1969401041667,NA,NA,NA,NA
1902,8,1902-08-01,-3.7189670138889,NA,NA,NA,NA
1902,9,1902-09-01,-2.0122612847222,NA,NA,NA,NA
1902,10,1902-10-01,-2.0670572916667,NA,NA,NA,NA
1902,11,1902-11-01,-0.86187065972222,NA,NA,NA,NA
1902,12,1902-12-01,-4.7998046875,NA,NA,NA,NA
1903,1,1903-01-01,-1.31781684027778,NA,NA,NA,NA
1903,2,1903-02-01,-1.61187065972222,NA,NA,NA,NA
1903,3,1903-03-01,1.68294270833333,NA,NA,NA,NA
1903,4,1903-04-01,-1.76801215277778,NA,NA,NA,NA
1903,5,1903-05-01,-2.0007595486111,NA,NA,NA,NA
1903,6,1903-06-01,-5.0473090277778,NA,NA,NA,NA
1903,7,1903-07-01,-3.7467447916667,NA,NA,NA,NA
1903,8,1903-08-01,-5.3791232638889,NA,NA,NA,NA
1903,9,1903-09-01,-1.6118706597222,NA,NA,NA,NA
1903,10,1903-10-01,-2.0670572916667,NA,NA,NA,NA
1903,11,1903-11-01,-3.45269097222222,NA,NA,NA,NA
1903,12,1903-12-01,-4.6904296875,NA,NA,NA,NA
1904,1,1904-01-01,-5.06781684027778,NA,NA,NA,NA
1904,2,1904-02-01,-7.04253472222222,NA,NA,NA,NA
1904,3,1904-03-01,-2.86686197916667,NA,NA,NA,NA
1904,4,1904-04-01,-3.25824652777778,NA,NA,NA,NA
1904,5,1904-05-01,-0.7712673611111,NA,NA,NA,NA
1904,6,1904-06-01,-3.5873480902778,NA,NA,NA,NA
1904,7,1904-07-01,-2.3570963541667,NA,NA,NA,NA
1904,8,1904-08-01,-3.9386935763889,NA,NA,NA,NA
1904,9,1904-09-01,-4.3325737847222,NA,NA,NA,NA
1904,10,1904-10-01,-2.8365885416667,NA,NA,NA,NA
1904,11,1904-11-01,-4.62261284722222,NA,NA,NA,NA
1904,12,1904-12-01,-7.5302734375,NA,NA,NA,NA
1905,1,1905-01-01,-4.37738715277778,NA,NA,NA,NA
1905,2,1905-02-01,-5.68218315972222,NA,NA,NA,NA
1905,3,1905-03-01,-2.60709635416667,NA,NA,NA,NA
1905,4,1905-04-01,-2.00824652777778,NA,NA,NA,NA
