"unit.code","long","lat","tmean.max","year","tmean.max.date","tmax.max","tmax.max.date","tmean.min","tmean.min.date","tmin.min","tmin.min.date"
"ACAD",-68.26019,44.376559,21.8671875,1951,"1951-07-11",28.0390625,"1951-09-13",-16.34375,"1951-12-17",-22.8203125,"1951-01-31"
"ACAD",-68.26019,44.376559,21.8671875,1951,"1951-07-16",28.0390625,"1951-09-13",-16.34375,"1951-12-17",-22.8203125,"1951-01-31"
"ACAD",-68.26019,44.376559,24.96875,1952,"1952-07-16",31.671875,"1952-07-17",-15.6875,"1952-01-31",-22.140625,"1952-01-31"
"ACAD",-68.26019,44.376559,25,1953,"1953-08-30",32.6328125,"1953-07-18",-12.5234375,"1953-02-03",-17.1484375,"1953-02-02"
"ACAD",-68.26019,44.376559,22.40625,1954,"1954-07-14",28.671875,"1954-06-23",-15.5234375,"1954-02-13",-24.3984375,"1954-02-13"
"ACAD",-68.26019,44.376559,23.90625,1955,"1955-08-21",31.3671875,"1955-06-20",-20.390625,"1955-02-02",-25.5703125,"1955-02-02"
"ACAD",-68.26019,44.376559,21.6328125,1956,"1956-06-16",29.7890625,"1956-06-16",-15.7265625,"1956-01-02",-22.7109375,"1956-01-01"
"ACAD",-68.26019,44.376559,24.09375,1957,"1957-06-25",31.6328125,"1957-06-25",-22.421875,"1957-01-15",-27.5390625,"1957-01-15"
"ACAD",-68.26019,44.376559,22.046875,1958,"1958-07-03",28.140625,"1958-07-25",-14.6171875,"1958-02-11",-20.609375,"1958-02-11"
"ACAD",-68.26019,44.376559,23.78125,1959,"1959-08-16",31.4296875,"1959-08-16",-16.84375,"1959-01-07",-20.71875,"1959-02-09"
"ACAD",-68.26019,44.376559,23.4609375,1960,"1960-09-09",31.21875,"1960-09-09",-16.6796875,"1960-01-11",-22.2265625,"1960-01-10"
"ACAD",-68.26019,44.376559,23.8828125,1961,"1961-08-12",30.09375,"1961-09-12",-18.140625,"1961-02-02",-23.671875,"1961-02-02"
"ACAD",-68.26019,44.376559,21.59375,1962,"1962-06-17",29.7109375,"1962-06-18",-22.6171875,"1962-02-02",-29.390625,"1962-02-02"
"ACAD",-68.26019,44.376559,27.6328125,1963,"1963-07-28",35.5078125,"1963-07-27",-16.46875,"1963-12-31",-22.1015625,"1963-01-26"
"ACAD",-68.26019,44.376559,22.4765625,1964,"1964-07-17",30.2265625,"1964-05-25",-15.96875,"1964-01-01",-22.1796875,"1964-01-01"
"ACAD",-68.26019,44.376559,23.9921875,1965,"1965-06-30",31.2109375,"1965-06-30",-21.140625,"1965-01-16",-25,"1965-01-16"
"ACAD",-68.26019,44.376559,22.921875,1966,"1966-08-19",29.40625,"1966-08-20",-17.2734375,"1966-02-21",-24.046875,"1966-02-21"
