"year","month","noaa.year.month","noaa.anom","mcfarland.year.month","mcfarland.anom"
1895,1,1895-01-01,-0.377554086538462,NA,NA
1895,2,1895-02-01,-1.87365534855769,NA,NA
1895,3,1895-03-01,-2.29956430288462,NA,NA
1895,4,1895-04-01,-0.316586538461539,NA,NA
1895,5,1895-05-01,0.594689002403847,NA,NA
1895,6,1895-06-01,-0.0950120192307686,NA,NA
1895,7,1895-07-01,-1.92584885817308,NA,NA
1895,8,1895-08-01,-0.816548978365386,NA,NA
1895,9,1895-09-01,0.176447432170542,NA,NA
1895,10,1895-10-01,-2.76078003875969,NA,NA
1895,11,1895-11-01,-0.0764065528100777,NA,NA
1895,12,1895-12-01,0.579154554263566,NA,NA
1896,1,1896-01-01,-2.41759314903846,NA,NA
1896,2,1896-02-01,-1.10412409855769,NA,NA
1896,3,1896-03-01,-2.33960336538462,NA,NA
1896,4,1896-04-01,-0.356625600961539,NA,NA
1896,5,1896-05-01,-0.715857872596153,NA,NA
1896,6,1896-06-01,-1.18485576923077,NA,NA
1896,7,1896-07-01,-0.685614483173076,NA,NA
1896,8,1896-08-01,-1.68666616586539,NA,NA
1896,9,1896-09-01,-1.56378694282946,NA,NA
1896,10,1896-10-01,-2.14163941375969,NA,NA
1896,11,1896-11-01,-0.236562802810078,NA,NA
1896,12,1896-12-01,-2.58100169573643,NA,NA
1897,1,1897-01-01,-0.787710336538462,NA,NA
1897,2,1897-02-01,0.515993088942308,NA,NA
1897,3,1897-03-01,-0.619876802884615,NA,NA
1897,4,1897-04-01,-0.417172475961539,NA,NA
1897,5,1897-05-01,-1.60550631009615,NA,NA
1897,6,1897-06-01,-2.94462139423077,NA,NA
1897,7,1897-07-01,-1.41510667067308,NA,NA
1897,8,1897-08-01,-0.906392728365386,NA,NA
1897,9,1897-09-01,-0.472966630329458,NA,NA
1897,10,1897-10-01,-0.151405038759689,NA,NA
1897,11,1897-11-01,-1.51683624031008,NA,NA
1897,12,1897-12-01,-0.610298570736434,NA,NA
1898,1,1898-01-01,-2.60704627403846,NA,NA
1898,2,1898-02-01,1.82556340144231,NA,NA
1898,3,1898-03-01,2.02074819711538,NA,NA
1898,4,1898-04-01,-1.45721153846154,NA,NA
1898,5,1898-05-01,-0.565467247596153,NA,NA
1898,6,1898-06-01,-0.784465144230769,NA,NA
1898,7,1898-07-01,-0.605536358173076,NA,NA
1898,8,1898-08-01,0.343607271634614,NA,NA
1898,9,1898-09-01,0.576838057170542,NA,NA
1898,10,1898-10-01,-0.751014413759689,NA,NA
1898,11,1898-11-01,0.0232028221899223,NA,NA
1898,12,1898-12-01,-1.50092357073643,NA,NA
1899,1,1899-01-01,-0.667593149038462,NA,NA
1899,2,1899-02-01,-1.82385066105769,NA,NA
1899,3,1899-03-01,-2.29956430288462,NA,NA
1899,4,1899-04-01,0.0632962740384615,NA,NA
