"UnitCode","long","lat","ppt.max","year","ppt.max.ym","ppt.min","ppt.min.ym"
"ACAD",-68.26019,44.376559,258.169921875,1895,1895-11-01,38.23046875,1895-10-01
"ACAD",-68.26019,44.376559,167.6103515625,1896,1896-03-01,26.6103515625,1896-01-01
"ACAD",-68.26019,44.376559,238.990234375,1897,1897-11-01,12.330078125,1897-10-01
"ACAD",-68.26019,44.376559,270.1904296875,1898,1898-02-01,42.7197265625,1898-07-01
"ACAD",-68.26019,44.376559,166.5302734375,1899,1899-03-01,19.1396484375,1899-08-01
"ACAD",-68.26019,44.376559,268.7900390625,1900,1900-01-01,42.7001953125,1900-07-01
"ACAD",-68.26019,44.376559,252.3603515625,1901,1901-03-01,37.330078125,1901-06-01
"ACAD",-68.26019,44.376559,361.98046875,1902,1902-03-01,41.8798828125,1902-07-01
"ACAD",-68.26019,44.376559,252.6201171875,1903,1903-03-01,28.5,1903-08-01
"ACAD",-68.26019,44.376559,220.7001953125,1904,1904-09-01,35.7001953125,1904-06-01
"ACAD",-68.26019,44.376559,192.2998046875,1905,1905-11-01,27.759765625,1905-03-01
"ACAD",-68.26019,44.376559,204.25,1906,1906-03-01,23.4697265625,1906-08-01
"ACAD",-68.26019,44.376559,147.3798828125,1907,1907-11-01,56,1907-03-01
"ACAD",-68.26019,44.376559,152.7900390625,1908,1908-02-01,39.0595703125,1908-06-01
"ACAD",-68.26019,44.376559,204.16015625,1909,1909-09-01,32.7802734375,1909-06-01
"ACAD",-68.26019,44.376559,139.83984375,1910,1910-02-01,37.169921875,1910-07-01
"ACAD",-68.26019,44.376559,175.1396484375,1911,1911-11-01,3.099609375,1911-05-01
"ACAD",-68.26019,44.376559,237.169921875,1912,1912-05-01,31.08984375,1912-06-01
"ACAD",-68.26019,44.376559,237.2900390625,1913,1913-10-01,7.169921875,1913-06-01
"ACAD",-68.26019,44.376559,109.4697265625,1914,1914-03-01,37.8095703125,1914-05-01
"ACAD",-68.26019,44.376559,185.6796875,1915,1915-07-01,10.5595703125,1915-03-01
"ACAD",-68.26019,44.376559,156.330078125,1916,1916-12-01,51.900390625,1916-01-01
"ACAD",-68.26019,44.376559,243.6796875,1917,1917-06-01,56.919921875,1917-09-01
"ACAD",-68.26019,44.376559,224.080078125,1918,1918-09-01,36.8896484375,1918-05-01
"ACAD",-68.26019,44.376559,165.48046875,1919,1919-03-01,39.6396484375,1919-06-01
"ACAD",-68.26019,44.376559,277.5,1920,1920-04-01,57.91015625,1920-08-01
"ACAD",-68.26019,44.376559,156.7197265625,1921,1921-11-01,32.58984375,1921-06-01
"ACAD",-68.26019,44.376559,147.419921875,1922,1922-08-01,45.6396484375,1922-05-01
"ACAD",-68.26019,44.376559,206.23046875,1923,1923-04-01,42.4404296875,1923-05-01
"ACAD",-68.26019,44.376559,124.4404296875,1924,1924-01-01,33.6904296875,1924-10-01
"ACAD",-68.26019,44.376559,207.419921875,1925,1925-10-01,30.48046875,1925-08-01
"ACAD",-68.26019,44.376559,215.1103515625,1926,1926-10-01,43.7001953125,1926-05-01
"ACAD",-68.26019,44.376559,170.990234375,1927,1927-12-01,57.650390625,1927-04-01
"ACAD",-68.26019,44.376559,158.7099609375,1928,1928-05-01,51.58984375,1928-11-01
"ACAD",-68.26019,44.376559,198.8603515625,1929,1929-04-01,38.6298828125,1929-06-01
"ACAD",-68.26019,44.376559,165.58984375,1930,1930-03-01,7.3701171875,1930-06-01
"ACAD",-68.26019,44.376559,173.4501953125,1931,1931-10-01,34.25,1931-11-01
"ACAD",-68.26019,44.376559,158.1201171875,1932,1932-10-01,35.75,1932-06-01
"ACAD",-68.26019,44.376559,157.580078125,1933,1933-04-01,55.7998046875,1933-05-01
"ACAD",-68.26019,44.376559,228.2197265625,1934,1934-09-01,44.099609375,1934-08-01
"ACAD",-68.26019,44.376559,250.75,1935,1935-01-01,27,1935-10-01
"ACAD",-68.26019,44.376559,239.9404296875,1936,1936-12-01,43.669921875,1936-07-01
"ACAD",-68.26019,44.376559,180.0595703125,1937,1937-11-01,34.5595703125,1937-08-01
"ACAD",-68.26019,44.376559,166.4697265625,1938,1938-09-01,60.3798828125,1938-03-01
"ACAD",-68.26019,44.376559,137.01953125,1939,1939-03-01,21.5302734375,1939-11-01
"ACAD",-68.26019,44.376559,162.990234375,1940,1940-04-01,15.1904296875,1940-10-01
"ACAD",-68.26019,44.376559,120.8603515625,1941,1941-03-01,24.5,1941-06-01
"ACAD",-68.26019,44.376559,188.7998046875,1942,1942-06-01,58.3798828125,1942-08-01
"ACAD",-68.26019,44.376559,220.2099609375,1943,1943-08-01,28.48046875,1943-12-01
"ACAD",-68.26019,44.376559,183.580078125,1944,1944-11-01,14.1298828125,1944-01-01
"ACAD",-68.26019,44.376559,247.25,1945,1945-05-01,45.01953125,1945-08-01
"ACAD",-68.26019,44.376559,148.169921875,1946,1946-12-01,30.5595703125,1946-06-01
"ACAD",-68.26019,44.376559,203.240234375,1947,1947-05-01,2.759765625,1947-10-01
"ACAD",-68.26019,44.376559,199.349609375,1948,1948-05-01,22.5595703125,1948-08-01
"ACAD",-68.26019,44.376559,135.2099609375,1949,1949-11-01,17.1396484375,1949-08-01
"ACAD",-68.26019,44.376559,259.1201171875,1950,1950-11-01,22.9296875,1950-05-01
"ACAD",-68.26019,44.376559,252.2197265625,1951,1951-11-01,58.08984375,1951-06-01
"ACAD",-68.26019,44.376559,207.830078125,1952,1952-01-01,4.990234375,1952-07-01
"ACAD",-68.26019,44.376559,267.4697265625,1953,1953-03-01,44.5,1953-06-01
"ACAD",-68.26019,44.376559,182.099609375,1954,1954-09-01,61.9404296875,1954-07-01
"ACAD",-68.26019,44.376559,173.900390625,1955,1955-11-01,24.33984375,1955-12-01
