"UnitCode","long","lat","tmean.max","year","tmean.max.ym","tmax.max","tmax.max.ym","tmean.min","tmean.min.ym","tmin.min","tmin.min.ym","ppt.max","ppt.max.ym","ppt.min","ppt.min.ym"
"ACAD",-68.26019,44.376559,17.5,1895,1895-08-01,22.7998046875,1895-07-01,-7.3896484375,1895-02-01,-12.3603515625,1895-02-01,258.169921875,1895-11-01,38.23046875,1895-10-01
"ACAD",-68.26019,44.376559,18.33984375,1896,1896-07-01,23.33984375,1896-07-01,-8.41015625,1896-01-01,-13.08984375,1896-01-01,167.6103515625,1896-03-01,26.6103515625,1896-01-01
"ACAD",-68.26019,44.376559,17.6103515625,1897,1897-07-01,22.7001953125,1897-07-01,-6.7802734375,1897-01-01,-11.83984375,1897-01-01,238.990234375,1897-11-01,12.330078125,1897-10-01
"ACAD",-68.26019,44.376559,18.66015625,1898,1898-08-01,23.2998046875,1898-08-01,-8.599609375,1898-01-01,-13.76953125,1898-01-01,270.1904296875,1898-02-01,42.7197265625,1898-07-01
"ACAD",-68.26019,44.376559,17.9296875,1899,1899-07-01,23.4697265625,1899-07-01,-7.33984375,1899-02-01,-12.849609375,1899-01-01,166.5302734375,1899-03-01,19.1396484375,1899-08-01
"ACAD",-68.26019,44.376559,18.8095703125,1900,1900-07-01,24.41015625,1900-07-01,-6.0703125,1900-02-01,-12.3798828125,1900-01-01,268.7900390625,1900-01-01,42.7001953125,1900-07-01
"ACAD",-68.26019,44.376559,18.73046875,1901,1901-07-01,24.150390625,1901-07-01,-8.830078125,1901-02-01,-13.7900390625,1901-02-01,252.3603515625,1901-03-01,37.330078125,1901-06-01
"ACAD",-68.26019,44.376559,17.4697265625,1902,1902-07-01,23.1201171875,1902-07-01,-6.83984375,1902-01-01,-12.6796875,1902-01-01,361.98046875,1902-03-01,41.8798828125,1902-07-01
"ACAD",-68.26019,44.376559,16.919921875,1903,1903-07-01,22.01953125,1903-07-01,-6.5400390625,1903-01-01,-11.6396484375,1903-01-01,252.6201171875,1903-03-01,28.5,1903-08-01
"ACAD",-68.26019,44.376559,18.3095703125,1904,1904-07-01,23.509765625,1904-07-01,-10.3203125,1904-02-01,-16.0498046875,1904-02-01,220.7001953125,1904-09-01,35.7001953125,1904-06-01
