"year","noaa.precip","mcfarland.precip","serc.precip"
1895,40.2141734134766,NA,NA
1896,49.1737162683594,NA,NA
1897,53.0141849391602,NA,NA
1898,59.592528796582,NA,NA
1899,42.7323603663086,NA,NA
1900,61.3586853236328,NA,NA
1901,52.192180312207,NA,NA
1902,58.629191662207,NA,NA
1903,49.2165466310547,NA,NA
1904,50.7351021385742,NA,NA
1905,45.6311377682617,NA,NA
1906,47.2783381533203,NA,NA
1907,49.6461190209961,NA,NA
1908,44.9440449390625,NA,NA
1909,52.9716621553711,NA,NA
1910,38.2795405405273,NA,NA
1911,43.3105702626953,NA,NA
1912,59.1583042756836,NA,NA
1913,47.043309421582,NA,NA
1914,37.4507691776367,NA,NA
1915,43.8243808255859,NA,NA
1916,46.6638339459961,NA,NA
1917,57.9067272587891,NA,NA
1918,52.0260492554687,NA,NA
1919,52.2318964384766,NA,NA
1920,55.3268322878906,NA,NA
1921,34.8807551791016,NA,NA
1922,41.4113858586914,NA,NA
1923,45.1980666682617,NA,NA
1924,37.9807660804687,NA,NA
1925,48.4102669756836,NA,NA
1926,47.6654262068359,NA,NA
1927,51.1279957439453,NA,NA
1928,44.9996398263672,NA,NA
1929,45.7429811480469,NA,NA
1930,34.8263521600586,NA,NA
1931,48.8697514142578,NA,NA
1932,45.7630122243164,NA,NA
1933,48.4374492615234,NA,NA
1934,50.5948461573242,NA,NA
1935,45.7979993249023,NA,NA
1936,60.6181506594727,NA,NA
1937,49.3721046628906,NA,NA
1938,48.3763948486328,NA,NA
1939,38.2433615716797,NA,NA
1940,45.7882336946289,NA,NA
1941,35.8067214763672,NA,NA
1942,52.0276255973633,NA,NA
1943,55.0468970358398,NA,NA
1944,40.7279455290039,NA,NA
1945,53.1838531533203,NA,NA
1946,38.677163171582,NA,NA
1947,41.6748271918945,NA,NA
1948,42.9893809898437,NA,NA
1949,37.4278545491211,NA,NA
1950,46.3066963884766,NA,NA
1951,58.8602603155273,NA,NA
1952,48.0697002317383,NA,NA
1953,60.8390692088867,NA,NA
1954,57.7016105756836,NA,NA
1955,39.6567250932617,NA,NA
1956,53.3948907303711,NA,NA
1957,37.8055229986328,NA,NA
1958,63.0587508332031,NA,NA
1959,58.3000822325195,NA,NA
1960,54.4031728324219,NA,NA
1961,53.3681698128906,NA,NA
1962,52.2768029587891,NA,NA
1963,50.9543290040039,NA,NA
1964,41.434300487207,NA,NA
1965,35.1578837736328,NA,NA
1966,41.9507639181641,NA,NA
1967,49.2956328573242,NA,NA
1968,44.4426144271484,NA,NA
1969,56.7669551743164,NA,NA
1970,44.3386143094727,NA,NA
1971,44.5784105142578,NA,NA
1972,57.1445082817383,NA,NA
1973,60.2682027588867,NA,NA
1974,45.1445094912109,NA,NA
1975,55.3347139973633,NA,NA
1976,53.9775605208984,NA,NA
1977,64.0327763345703,NA,NA
1978,41.1492901832031,NA,NA
1979,62.5559746635742,NA,NA
1980,40.617370912207,NA,NA
1981,49.4893691208984,NA,NA
1982,45.7499785681641,NA,NA
1983,66.0288096466797,NA,NA
1984,52.5448964229492,NA,NA
1985,40.3736530763672,NA,NA
1986,52.1996391006836,NA,NA
1987,44.1984736703125,NA,NA
1988,47.2488490256836,NA,NA
1989,51.8571115412109,NA,NA
1990,56.5248521277344,NA,NA
1991,50.7653986608398,NA,NA
1992,42.6941052398438,NA,NA
1993,53.6268436730469,NA,NA
1994,51.2614465418945,NA,NA
1995,51.0736311722656,NA,NA
1996,60.072890153418,NA,NA
1997,43.1803490432617,NA,NA
1998,51.2712890668945,NA,NA
1999,47.879924046582,33.7795458,NA
2000,46.0318746357422,31.60631628,NA
2001,26.7090372452148,15.75985103,NA
2002,52.7366334236328,35.50789319,NA
2003,44.2542992417969,34.2126169,NA
2004,37.1984775797852,23.16536684,NA
2005,65.4646330378906,52.83861121,NA
2006,60.9346878013672,50.86223219,NA
2007,53.8429947494141,47.30711216,NA
2008,60.3433289067383,52.73624895,NA
2009,58.7810971945312,56.03940034,27.6800149472
2010,55.4039192512695,68.4252338,28.9700156438
2011,47.7370920919922,36.08663366,34.4300185922
2012,51.5141610607422,41.16143955,26.5900143586
2013,44.6736446331055,48.40160094,27.0900146286
2014,56.8197049567383,59.842552,49.850026919
2015,47.1681480101562,37.65750065,29.950016173
2016,46.6236180040039,42.69293644,30.8600166644
2017,48.5213414082031,43.92915758,34.1200184248
2018,56.2783660817383,55.64963635,37.4700202338
2019,60.0862698358398,60.36223732,42.650023031
2020,46.1866637203125,43.90947253,30.5400164916
2021,54.5822990979492,51.36616947,35.3300190782
2022,57.3579295953125,53.50002889,34.9200188568
2023,61.4957501737305,61.55121434,37.50002025
2024,37.3681842413086,31.75985967,25.400013716
