"STATION","DATE","MLY-PRCP-NORMAL","MLY-SNOW-NORMAL","MLY-TAVG-NORMAL","MLY-TMAX-NORMAL","MLY-TMIN-NORMAL"
"USC00170100","01","491","170","226","314","137"
"USC00170100","02","435","168","261","350","172"
"USC00170100","03","539","155","332","416","248"
"USC00170100","04","478","47","442","533","350"
"USC00170100","05","464","-7777","547","650","445"
"USC00170100","06","412","0","640","742","537"
"USC00170100","07","350","0","692","791","593"
"USC00170100","08","331","0","687","784","589"
"USC00170100","09","445","0","612","705","520"
"USC00170100","10","531","2","503","587","420"
"USC00170100","11","647","30","405","481","330"
"USC00170100","12","549","146","293","372","213"
