filename,path,file.type,description
SERC_D2258_export_20241119,acadia_climate_dashboard/data/raw_data,.csv,Winter Harbor - SERC (Schoodic Institute) weather station data (ID:D2258). Downloaded from: https://mesowest.utah.edu/cgi-bin/droman/meso_base_dyn.cgi?stn=D2258
,,,
column name,description,,
Station_ID,unique identification code of weather station,,
Date_Time,date (YYYY-MM-DD) and time (HH:MM:SS) of observation,,
altimeter_set_1,altimeter in pascals,,
air_temp_set_1,temperature in celsius,,
relative_humidity_set_1,percent relative humidity,,
wind_speed_set_1,wind speed in m/s,,
wind_direction_set_1,wind direction in degrees,,
wind_gust_set_1,wind gust in m/s,,
precip_accum_24_hour_set_1,precipitation in milimeters,,
precip_accum_since_local_midnight_set_1,precipitation in milimeters,,
wind_chill_set_1d,wind chill in celsius,,
wind_cardinal_direction_set_1d,cardinal direction of wind,,
heat_index_set_1d,heat index in celsius,,
dew_point_temperature_set_1d,temperature dew point in celsius,,
pressure_set_1d,pressure in pascals,,
sea_level_pressure_set_1d,sea level pressure in pascals,,
,,,
From source:,,,
# The provisional data available here are intended for diverse user applications.,,,
# For data required for a court of law or regulatory purposes, review the information ,,
# available from the NCEI (https://www.ncdc.noaa.gov/customer-support/certification-data),,,
# or consult a CCM (http://www.nicm.org).,,,
# STATION: D2258,,,
# STATION NAME: DW2258 Winter Harbor-SERC,,,
# LATITUDE: 44.33567,,,
# LONGITUDE: -68.06200,,,
# ELEVATION [ft]: 89.0,,,
# STATE: ME,,,
